TYPEANA;TYPEANA_LABEL
ACEDD.ACEDD;Antigène carcino embryonnaire
ACEDD.ACEDDR;ACE Divers
ACEE.000;AC ANTI ETHINYL E2
ACEE.005;*AC ANTI ETHINYL E2
ACEND.ACENDANNUL;Annule
ACEN.000;ANTICORPS ANTI-CENTROMERE (IF)
ACEN.002;ANTICORPS ANTI CENTROMERES
ACEN.003;--------------------------
ACEN.005;Recherche (Immunofluorescence) :...
ACEST.000;DOSAGE DE L'ACETYL-CHOLINE ESTERASE
ACEST.005;ACTIVITE DE L'ACETYL-CHOLINE ESTERASE
ACEST.010;(a 30oC)
ACETA.000;ELECTROPHORESE DE L'HB SUR ACETATE
ACETA.005;ELECTROPHORESE DE L'HB SUR ACETATE
ACETA.010;* ELECTROPHORESE DE L'HB SUR ACETATE
ACETA.015;*   COMMENTAIRE
ACETA.020;*   COMMENTAIRE
ACET1.ACET1COM;Commentaires
ACET1.ACET1R;Concentration
ACET1.ACET1REF;Références
ACFI.ACFIENVOI;Envoyé le :
ACHEA.ACHEAA;Après Centrifugation  
ACHEA.ACHEAC;Commentaire
ACHEA.ACHEA;Examen
ACHEA.ACHEAG1;Age Gestationnel
ACICP.ACICPCOM1;Commentaire(s) : 
ACICP.ACICPCOM2;Commentaire(s) : 
ACICP.ACICPR;Concentration au pic
ACICP.ACICPR2;Concentration au pic
ACICV.ACICVCOM1;Commentaire(s):
ACICV.ACICVCOM2;Commentaire(s):
ACICV.ACICVR;Aciclovir (résiduel) :
ACICV.ACICVR2;Aciclovir (résiduel) :
ACID.000;TEST SUR SERUM ACIDIFIE
ACID.005;TEST SUR SERUM ACIDIFIE
ACID.010;* TEST SUR SERUM ACIDIFIE
ACOL2.ACOL2ANNUL;Annule
ACPCO.000;COMMENTAIRE :
ACPCO.005;COMMENTAIRE
ACPNA.ACPNAASP1;Aspect
ACPNA.ACPNAASP2;Aspect
ACPNA.ACPNACOM;Commentaire
ACPNA.ACPNAREC;Recherche
ACPNE.000;ANTICORPS ANTI-PROTEINASE 3
ACPNE.005;RECHERCHE D'ANTI-P N
ACPNE.006;--------------------
ACPNE.010;Recherche (ELISA):.................
ACPNE.015;Dosage :..........................
ACPNE.020;*COMMENTAIRE............................
ACPNI.ACPNIASP1;Aspect
ACPNI.ACPNIASP2;Aspect
ACPNI.ACPNICOM;Commentaire
ACPNI.ACPNIREC;Recherche
ACPNI.000;ANTI-CYTOPLASME DES POLYNUCLEAIRES (IF)
ACPNI.005;RECHERCHE D'ANTI-P N
ACPNI.006;--------------------
ACPNI.010;Recherche (Immunofluorescence):....
ACPNI.015;Titre :...........................
ACPNI.020;Aspect :..........................
ACPNI.035;      ASPECT :..........................
ACPNI.040;      ASPECT :..........................
ACPNI.050;COMMENTAIRE  :..........................
ACPNM.ACPNMCOM;Commentaire
ACPNM.ACPNM;Dosage
ACPNM.000;ANTICORPS ANTI-MYELOPEROXYDASE          
ACPNM.005;ANTICORPS ANTI MYELOPEROXYDASE: (ELISA)
ACPNM.010;----------------------------------------
ACPNM.015;     Recherche (ELISA):.................
ACPNM.020;     Dosage (U/ml):.....................
ACPNM.025;*COMMENTAIRE............................
ACPNP.ACPNPCOM;Commentaire
ACPNP.ACPNP;Dosage
