TYPEANA;TYPEANA_LABEL
BG_ADNMEC.BG_ADNMEC_CTS;Recherche du gène mecA  - Ct souche
BG_ADNMEC.BG_ADNMEC_NAT;Recherche du gène mecA  - Nature de prélèvement
BG_ADNMEC.BG_ADNMEC_PVT;Recherche du gène mecA  - Nature pvt calculée
BG_ADNMEC.BG_ADNMEC_RES;Recherche du gène mecA  - Résultat
BG_ADNMEC.BG_ADNMEC_ST;Recherche du gène mecA  - Statut
BG_ADNMEC.BG_ADNMEC_TEC;Recherche du gène mecA  - Technique
BG_ADNMECC.BG_ADNMECC_COM;Recherche du gène mecC  - Commentaire
BG_ADNMECC.BG_ADNMECC_CT;Recherche du gène mecC  - Ct
BG_ADNMECC.BG_ADNMECC_CTS;Recherche du gène mecC  - Ct souche
BG_ADNMECC.BG_ADNMECC_NAT;Recherche du gène mecC  - Nature de prélèvement
BG_ADNMECC.BG_ADNMECC_PVT;Recherche du gène mecC  - Nature pvt calculée
BG_ADNMECC.BG_ADNMECC_RES;Recherche du gène mecC  - Résultat
BG_ADNMECC.BG_ADNMECC_ST;Recherche du gène mecC  - Statut
BG_ADNMECC.BG_ADNMECC_TEC;Recherche du gène mecC  - Technique
BG_ADNMGEN.BG_ADNMGEN_COM;PCR Mycoplasma genitalium - Commentaire
BG_ADNMGEN.BG_ADNMGEN_CT;PCR Mycoplasma genitalium - Ct
BG_ADNMGEN.BG_ADNMGEN_CTS;PCR Mycoplasma genitalium - Ct souche
BG_ADNMGEN.BG_ADNMGEN_NAT;PCR Mycoplasma genitalium - Nature de prélèvement
BG_ADNMGEN.BG_ADNMGEN_RES;PCR Mycoplasma genitalium - Résultat
BG_ADNMGEN.BG_ADNMGEN_ST;PCR Mycoplasma genitalium - Statut
BG_ADNMGEN.BG_ADNMGEN_TEC;PCR Mycoplasma genitalium - Technique
BG_ADNMP.BG_ADNMP_CT;PCR Mycoplasma pneumoniae - Ct
BG_ADNMP.BG_ADNMP_RES;PCR Mycoplasma pneumoniae - Résultat
BG_ADNMP.BG_ADNMP_ST;PCR Mycoplasma pneumoniae - Statut
BG_ADNMP.BG_ADNMP_TEC;PCR Mycoplasma pneumoniae - Technique
BG_ADNPANC.BG_ADNPANC_COM;PCR pan chlam - Commentaire
BG_ADNPANC.BG_ADNPANC_CT;PCR pan chlam - Ct
BG_ADNPANC.BG_ADNPANC_CTS;PCR pan chlam - Ct souche
BG_ADNPANC.BG_ADNPANC_NAT;PCR pan chlam - Nature de prélèvement
BG_ADNPANC.BG_ADNPANC_PVT;PCR pan chlam - Nature pvt calculée
BG_ADNPANC.BG_ADNPANC_RES;PCR pan chlam - Résultat
BG_ADNPANC.BG_ADNPANC_ST;PCR pan chlam - Statut
BG_ADNPANC.BG_ADNPANC_TEC;PCR pan chlam - Technique
BG_ADNP.BG_ADNP_COM;PCR Pneumocoque - Commentaire
BG_ADNP.BG_ADNP_CT;PCR Pneumocoque - Ct
BG_ADNP.BG_ADNP_CTS;PCR Pneumocoque - Ct souche
BG_ADNP.BG_ADNP_NAT;PCR Pneumocoque - Nature de prélèvement
BG_ADNP.BG_ADNP_PVT;PCR Pneumocoque - Nature pvt calculée
BG_ADNP.BG_ADNP_RES;PCR Pneumocoque - Résultat
BG_ADNP.BG_ADNP_ST;PCR Pneumocoque - Statut
BG_ADNP.BG_ADNP_TEC;PCR Pneumocoque - Technique
BG_ADNPORA.BG_ADNPORA_COM;PCR Meningo porA - Commentaire
BG_ADNPORA.BG_ADNPORA_CT;PCR Meningo porA - Ct
BG_ADNPORA.BG_ADNPORA_CTS;PCR Meningo porA - Ct souche
BG_ADNPORA.BG_ADNPORA_NAT;PCR Meningo porA - Nature de prélèvement
BG_ADNPORA.BG_ADNPORA_PVT;PCR Meningo porA - Nature pvt calculée
BG_ADNPORA.BG_ADNPORA_RES;PCR Meningo porA - Résultat
BG_ADNPORA.BG_ADNPORA_TEC;PCR Meningo porA - Technique
BG_ADNPTX.BG_ADNPTX_CT;PCR PTXS1 - ADNPTX CT
BG_ADNPTX.BG_ADNPTX_CTS;PCR PTXS1 - ADNPTX CT souche
BG_ADNPTX.BG_ADNPTX_RES;PCR PTXS1 - ADNPTX Résultat
BG_ADNPYO.BG_ADNPYO_COM;PCR Pseudomonas aeruginosa - Commentaire
BG_ADNPYO.BG_ADNPYO_CT;PCR Pseudomonas aeruginosa - Ct
BG_ADNPYO.BG_ADNPYO_CTS;PCR Pseudomonas aeruginosa - Ct souche
BG_ADNPYO.BG_ADNPYO_NAT;PCR Pseudomonas aeruginosa - Nature de prélèvement
BG_ADNPYO.BG_ADNPYO_PVT;PCR Pseudomonas aeruginosa - Nature pvt calculée
BG_ADNPYO.BG_ADNPYO_RES;PCR Pseudomonas aeruginosa - Résultat
BG_ADNPYO.BG_ADNPYO_ST;PCR Pseudomonas aeruginosa - Statut
BG_ADNPYO.BG_ADNPYO_TEC;PCR Pseudomonas aeruginosa - Technique
BG_ADNRIC.BG_ADNRIC_CR;PCR Rickettsies - Compte-rendu
BG_ADNRIC.BG_ADNRIC_ENV;PCR Rickettsies - Envoyée le 
BG_ADNRIC.BG_ADNRIC_LAB;PCR Rickettsies - PCR réalisée par
BG_ADNRIC.BG_ADNRIC__NAT;PCR Rickettsies - Nature de prélèvement
BG_ADNRIC.BG_ADNRIC_RES;PCR Rickettsies - Résultat
BG_ADNRIC.BG_ADNRIC_RET;PCR Rickettsies - Résultat reçu le 
BG_ADNRIC.BG_ADNRIC_ST;PCR Rickettsies - Nature de prélèvement
BG_ADNSB.BG_ADNSB_COM;PCR Streptococcus agalactiae - Commentaire
BG_ADNSB.BG_ADNSB_CT;PCR Streptococcus agalactiae - Ct
BG_ADNSB.BG_ADNSB_CTS;PCR Streptococcus agalactiae - Ct souche
BG_ADNSB.BG_ADNSB_NAT;PCR Streptococcus agalactiae - Nature de prélèvement
BG_ADNSB.BG_ADNSB_PVT;PCR Streptococcus agalactiae - Nature pvt calculée
BG_ADNSB.BG_ADNSB_RES;PCR Streptococcus agalactiae - Résultat
BG_ADNSB.BG_ADNSB_ST;PCR Streptococcus agalactiae - Statut
BG_ADNSB.BG_ADNSB_TEC;PCR Streptococcus agalactiae - Technique
BG_ADNSTA.BG_ADNSTA_COM;PCR Staphylococcus aureus - Commentaire
BG_ADNSTA.BG_ADNSTA_CT;PCR Staphylococcus aureus - Ct
BG_ADNSTA.BG_ADNSTA_CTS;PCR Staphylococcus aureus - Ct souche
BG_ADNSTA.BG_ADNSTA_NAT;PCR Staphylococcus aureus - Nature de prélèvement
BG_ADNSTA.BG_ADNSTA_PVT;PCR Staphylococcus aureus - Nature pvt calculée
BG_ADNSTA.BG_ADNSTA_RES;PCR Staphylococcus aureus - Résultat
BG_ADNSTA.BG_ADNSTA_ST;PCR Staphylococcus aureus - Statut
BG_ADNSTA.BG_ADNSTA_TEC;PCR Staphylococcus aureus - Technique
BG_ADNSTL.BG_ADNSTL_COM;PCR Staphylococcus lugdunensis - Commentaire
BG_ADNSTL.BG_ADNSTL_CT;PCR Staphylococcus lugdunensis - Ct
BG_ADNSTL.BG_ADNSTL_CTS;PCR Staphylococcus lugdunensis - Ct souche
BG_ADNSTL.BG_ADNSTL_NAT;PCR Staphylococcus lugdunensis - Nature de prélèvement
BG_ADNSTL.BG_ADNSTL_PVT;PCR Staphylococcus lugdunensis - Nature pvt calculée
BG_ADNSTL.BG_ADNSTL_RES;PCR Staphylococcus lugdunensis - Résultat
BG_ADNSTL.BG_ADNSTL_ST;PCR Staphylococcus lugdunensis - Statut
BG_ADNSTL.BG_ADNSTL_TEC;PCR Staphylococcus lugdunensis - Technique
BG_ADNSTX.BG_ADNSTX_COM;Recherche des gènes stx - Commentaire
BG_ADNSTX.BG_ADNSTX_NAT;Recherche des gènes stx - Nature de prélèvement
BG_ADNSTX.BG_ADNSTX_PVT;Recherche des gènes stx - Nature pvt calculée
BG_ADNSTX.BG_ADNSTX_RES;Recherche des gènes stx - Résultat
BG_ADNSTX.BG_ADNSTX_ST;Recherche des gènes stx - Statut
BG_ADNSTX.BG_ADNSTX_TEC;Recherche des gènes stx - Technique
BG_ADNSTX.BG_ADNSTX1_CT;Recherche des gènes stx - STX1 Ct
BG_ADNSTX.BG_ADNSTX1_CTS;Recherche des gènes stx - STX1 Ct souche
BG_ADNSTX.BG_ADNSTX2_CT;Recherche des gènes stx - STX2 Ct
BG_ADNSTX.BG_ADNSTX2_CTS;Recherche des gènes stx - STX2 Ct souche
BG_ADNSYP.BG_ADNSYP_CR;PCR Syphilis - Compte-rendu
BG_ADNSYP.BG_ADNSYP_ENV;PCR Syphilis - Envoyée le 
BG_ADNSYP.BG_ADNSYP_LAB;PCR Syphilis - PCR réalisée par
BG_ADNSYP.BG_ADNSYP__NAT;PCR Syphilis - Nature de prélèvement
BG_ADNSYP.BG_ADNSYP_PVT;PCR Syphilis - Nature pvt calculée
BG_ADNSYP.BG_ADNSYP_RES;PCR Syphilis - Résultat
