SEJUF;SEJUF_LABEL
2118;HELICOPTERE SMUR
2102;ANESTH ORTH CH PLAST
2103;ANESTHESIO NEUROCHIR
2105;ANESTHESIO THOR VASC
2106;ANESTHESIO SISMOTHER
2107;ANESTHESI ABORD VASC
2110;ANESTHESIO NON PROGR
2120;ANESTH CH CARD ROBEC
2121;ANESTH ORL CMF OPHT
2122;ANESTH RADIO INTERV
2123;ANESTH CH CARD DEROC
2130;ANESTHESIO PEDIATRIE
2141;ANESTHESIO UROLOGIE
2142;ANESTH ENDOSC DIGEST
2143;ANESTH CHIR DIG
2627;BLOC SPE CHIR UROLOG
2629;ST HILAIRE
2630;BLOC CHIR CARD ROBEC
2635;BLOC SPE ODONTOLOGIE
2640;BLOC SPECIALITE CMF
2657;ROBOT CHIR BECQUEREL
2661;BLOC SPE PNEUMOLOGIE
2662;BLOC SPECIALITE PSYC
U035;UCPA CHBP 4 SAISONS
8458;EM2R- REEDUC.READAPT
2420;IBC.PRE ANALYTIQUE
2427;C.P.G.O
2440;METROLOGIE
2460;BIOLOGIE DELOCALISEE
7202;CX ROUGE HAD
7250;ACTES CRLCC
2232;PHARMACO.CLINIQUE
